Year,Milage,Price,Link,Photo Link
2015,12166,"£10,700", https://www.autotrader.co.uk/car-details/202210070499633?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&journey=FEATURED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/4be6fbe02cac4cb490c1e275614cda9b.jpg
2015,45175,"£7,975", https://www.autotrader.co.uk/car-details/202210261095877?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0566456cda824ab583dbf3ea6dd1cf75.jpg
2015,55000,"£8,000", https://www.autotrader.co.uk/car-details/202209220021202?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/344cb594417e4649be3f507e13315a7d.jpg
2015,74000,"£5,000", https://www.autotrader.co.uk/car-details/202210150756616?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/d2d5d39b1063458e8aad0dd0a9775422.jpg
2015,61000,"£5,970", https://www.autotrader.co.uk/car-details/202210261104165?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5aa2af71bd524ad99963a8d0e80f29ff.jpg
2015,47075,"£8,000", https://www.autotrader.co.uk/car-details/202208018365955?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/face978ae1bd4d93a0e6fc9906ed3dab.jpg
2015,56000,"£5,995", https://www.autotrader.co.uk/car-details/202210220964738?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/84360ae96bb24f17ae336b770ad9b760.jpg
2015,36000,"£7,590", https://www.autotrader.co.uk/car-details/202210100585143?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/1fddaeaaae394cc8beeaa79f3b273886.jpg
2015,87600,"£5,900", https://www.autotrader.co.uk/car-details/202209149769221?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a995ab7c0b9a4811b60fe73770ef93d8.jpg
2015,117000,"£3,950", https://www.autotrader.co.uk/car-details/202209149742379?model=fiesta&year-to=2015&make=ford&radius=1501&sort=relevance&exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&advertising-location=at_cars&postcode=tq122pu&year-from=2015&page=1&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/32348c24669e40e79867001d71f5c8b3.jpg
